usuario_id,cancion_id,fecha_escucha
155,48,2024-01-20
123,19,2024-01-06
195,15,2024-01-19
132,66,2024-01-03
176,14,2024-01-25
128,70,2024-01-25
121,51,2024-01-24
187,7,2024-01-14
184,19,2024-01-01
111,11,2024-01-10
119,76,2024-01-06
136,31,2024-01-12
117,97,2024-01-08
104,69,2024-01-07
162,87,2024-01-09
187,74,2024-01-05
171,30,2024-01-26
168,5,2024-01-18
121,73,2024-01-09
187,4,2024-01-26
173,49,2024-01-02
194,98,2024-01-16
152,38,2024-01-14
133,31,2024-01-13
185,35,2024-01-03
108,74,2024-01-24
190,52,2024-01-19
136,57,2024-01-11
131,46,2024-01-30
159,32,2024-01-23
128,84,2024-01-20
124,87,2024-01-01
192,51,2024-01-26
130,26,2024-01-21
174,90,2024-01-31
162,97,2024-01-05
111,46,2024-01-02
175,63,2024-01-18
125,70,2024-01-08
119,87,2024-01-02
157,22,2024-01-03
176,2,2024-01-03
173,97,2024-01-05
129,14,2024-01-11
151,73,2024-01-18
181,34,2024-01-15
193,30,2024-01-10
156,68,2024-01-08
160,76,2024-01-03
121,20,2024-01-12
109,37,2024-01-02
172,65,2024-01-02
189,11,2024-01-20
122,90,2024-01-04
109,36,2024-01-23
106,32,2024-01-01
174,69,2024-01-19
116,12,2024-01-27
117,75,2024-01-04
159,51,2024-01-15
148,71,2024-01-29
181,51,2024-01-14
188,64,2024-01-22
189,91,2024-01-28
191,74,2024-01-17
156,5,2024-01-04
151,24,2024-01-11
118,45,2024-01-05
166,75,2024-01-06
123,18,2024-01-15
117,76,2024-01-09
152,59,2024-01-27
157,20,2024-01-16
119,38,2024-01-19
177,7,2024-01-31
141,56,2024-01-17
117,70,2024-01-04
137,94,2024-01-30
113,44,2024-01-24
135,82,2024-01-04
107,70,2024-01-02
168,57,2024-01-10
195,55,2024-01-19
116,72,2024-01-05
103,59,2024-01-19
125,48,2024-01-08
115,62,2024-01-18
181,68,2024-01-17
189,100,2024-01-07
198,47,2024-01-05
161,67,2024-01-18
110,76,2024-01-09
187,74,2024-01-10
101,7,2024-01-18
139,9,2024-01-27
175,49,2024-01-08
108,44,2024-01-17
110,80,2024-01-10
153,32,2024-01-20
114,13,2024-01-23
